Ligand SMILES,QED
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1C=C=NCC1N,0.5737460197224458
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1C=C=NCC1=O,0.5957767593059903
C=NCCC(C)N(C)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5218552216307463
CN(c1cc(-c2ncnc3sccc23)c2cc(O)[nH]c2n1)C1C=C=NC=C1N,0.49607161177979
C=CC(C=C=N)N(C)c1cc(-c2nc(C)nc3sccc23)c2cc[nH]c2n1,0.4021338139451719
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1C=C=NC1,0.6179416249128736
NC1=NCCC(Nc2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)C1,0.5184393180282958
C=C1CC(Nc2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CCN1N,0.4730541153859863
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1C=C=NCC1O,0.573640225641387
CN(c1nc2[nH]ccc2c(-c2ncnc3sccc23)c1O)C1CC=NCC1,0.5682948229137251
C=C1CC(Nc2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)C(O)C=N1,0.5091119620085356
C=CC1(N(O)c2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CC=NC(=C)C1,0.38026760243515073
CN(CC1=NCCN=C1)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5937554477340937
CN(C=C1C=C=NC1)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.6047565731992923
CN(c1cc(-c2ncnc3sc(N)cc23)c2cc[nH]c2n1)C1C=C=NC=C1,0.5738659713975057
Cc1nc(-c2cc(N(C)C3C=C=NC=C3)nc3[nH]ccc23)c2ccsc2n1,0.5876995551626615
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1(O)C=C=NC1,0.5468633123896501
C=C1CC(N(C)c2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CCN1N,0.519741687831902
CN(c1cc(-c2ncnc3sccc23)c2c(O)c[nH]c2n1)C1CC=NCC1,0.5682948229137251
C=C1CC(Nc2cc(-c3ncnc4sc(O)cc34)c3cc[nH]c3n2)C(O)C=N1,0.4253733345316862
C=C1CC2(C=CON2c2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CC=N1,0.5312113376174862
CN(c1nc2[nH]ccc2c(-c2ncnc3sccc23)c1O)C1C=C=NCC1,0.5720450895406131
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C(N)C1=NCCN=C1,0.5205069454998371
CN(c1nc2[nH]ccc2c(-c2ncnc3sccc23)c1N)C1C=C=NCC1,0.5729282342081146
C=C1CC(N(C)c2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)C=C=N1,0.5855417977706623
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1C=C=NC(=O)C1,0.5949901086396094
CCN=C=CCN(C)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5464424535710505
NCN(c1cc(-c2ncnc3sc(N)cc23)c2cc[nH]c2n1)C1C=C=NC=C1,0.4620723403533598
C#Cc1nc(-c2cc(N(C)C3C=C=NC=C3)nc3[nH]ccc23)c2ccsc2n1,0.5477009153245119
CC1CC(N(C)c2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CCN1N,0.5189223928394614
Cc1c(N(C)C2CC=NCC2)nc2[nH]ccc2c1-c1ncnc2sccc12,0.5813232754224679
C=C1CC2(C=CON2c2cc(-c3nc(C)nc4sccc34)c3cc[nH]c3n2)CC=N1,0.5033162794125494
CN(C(=N)C1=NCCN=C1)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.4151393366615503
N=CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1C=C=NC=C1,0.42168864398564854
CC1N=C=CC1N(C)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.6051319180767588
CC1CC(N(C)c2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CCN1,0.567248104847733
O=CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1CC=NCC1,0.5528919088193671
C=CC(CCN)N(C)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5110404992777475
C=C1CC(Nc2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)C(=O)C=N1,0.5714163594224978
Cc1nc(-c2cc(N3OC=CC34CC=NCC4)nc3[nH]ccc23)c2ccsc2n1,0.5371655449190107
CCN(C(=N)C1=NCCN=C1)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.4019320119783274
C=CN(C=C1C=C=NC1)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5811280592909308
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1CCN=C=C1N,0.5738465632292895
CC1N=C=C=C1N(C)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5659129862971523
C=C1CN=C=CC1N(C)c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1,0.5549306843909965
CN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1CCNCC1,0.5828529234822005
Cc1nc(-c2cc(NC3CCNCC3)nc3[nH]ccc23)c2ccsc2n1,0.516472012669031
NN(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1CCNCC1,0.38154728913552854
Nc1csc2ncnc(-c3cc(NC4CCNCC4)nc4[nH]ccc34)c12,0.444858789770454
C1=CC(Nc2cc(-c3ncnc4sccc34)c3cc[nH]c3n2)CCN1,0.5278708893488783
ON(c1cc(-c2ncnc3sccc23)c2cc[nH]c2n1)C1CCNCC1,0.48261769591358855
